Unidade de postagem;Nota fiscal;Valor frete
00423891 AGF AVENIDA VITORIA;10489;0
00423891 AGF AVENIDA VITORIA;10490;0
00423891 AGF AVENIDA VITORIA;10491;0
00423891 AGF AVENIDA VITORIA;10522;69,37
00423891 AGF AVENIDA VITORIA;10526;63,01
00423891 AGF AVENIDA VITORIA;10527;48,34
00423891 AGF AVENIDA VITORIA;10539;175,77
00423891 AGF AVENIDA VITORIA;10558;0
00423891 AGF AVENIDA VITORIA;10602;0
00423891 AGF AVENIDA VITORIA;10613;453,74
00423891 AGF AVENIDA VITORIA;10624;0
00423891 AGF AVENIDA VITORIA;10625;128,07
00423891 AGF AVENIDA VITORIA;10626;72,41
00423891 AGF AVENIDA VITORIA;10627;102,27
00423891 AGF AVENIDA VITORIA;10631;0
00423891 AGF AVENIDA VITORIA;10632;0
00423891 AGF AVENIDA VITORIA;10633;0
00423891 AGF AVENIDA VITORIA;10635;0
00423891 AGF AVENIDA VITORIA;10636;0
00423891 AGF AVENIDA VITORIA;10645;78,3
00423891 AGF AVENIDA VITORIA;10649;46,02
00423891 AGF AVENIDA VITORIA;10655;93,47
00423891 AGF AVENIDA VITORIA;10657;176,21
00423891 AGF AVENIDA VITORIA;10661;187,93
00423891 AGF AVENIDA VITORIA;10663;74,45
00423891 AGF AVENIDA VITORIA;10668;75,04
00423891 AGF AVENIDA VITORIA;10673;66,92
00423891 AGF AVENIDA VITORIA;10675;560,61
00423891 AGF AVENIDA VITORIA;10682;217,95
00423891 AGF AVENIDA VITORIA;10684;623,6
00423891 AGF AVENIDA VITORIA;10685;232,45
00423891 AGF AVENIDA VITORIA;10688;97,87
00423891 AGF AVENIDA VITORIA;10689;74,19
00423891 AGF AVENIDA VITORIA;10690;36,24
00423891 AGF AVENIDA VITORIA;10691;246,16
00423891 AGF AVENIDA VITORIA;10692;0
00423891 AGF AVENIDA VITORIA;10693;74,19
00423891 AGF AVENIDA VITORIA;10695;50,06
00423891 AGF AVENIDA VITORIA;10697;74,19
00423891 AGF AVENIDA VITORIA;10698;50,06
00423891 AGF AVENIDA VITORIA;10699;74,19
00423891 AGF AVENIDA VITORIA;10700;97,87
00423891 AGF AVENIDA VITORIA;10701;74,19
00423891 AGF AVENIDA VITORIA;10702;74,19
00423891 AGF AVENIDA VITORIA;10703;82,49
00423891 AGF AVENIDA VITORIA;10706;36,24
00423891 AGF AVENIDA VITORIA;10707;63,85
00423891 AGF AVENIDA VITORIA;10708;74,19
00423891 AGF AVENIDA VITORIA;10710;48,02
00423891 AGF AVENIDA VITORIA;10714;82,49
00423891 AGF AVENIDA VITORIA;10717;74,19
00423891 AGF AVENIDA VITORIA;10721;150,89
00423891 AGF AVENIDA VITORIA;10722;0
00423891 AGF AVENIDA VITORIA;10724;331,43
00423891 AGF AVENIDA VITORIA;10727;299,97
00423891 AGF AVENIDA VITORIA;10728;173,87
00423891 AGF AVENIDA VITORIA;10730;299,97
00423891 AGF AVENIDA VITORIA;10737;132,88
00423891 AGF AVENIDA VITORIA;10738;135,73
00423891 AGF AVENIDA VITORIA;10739;78,23
00423891 AGF AVENIDA VITORIA;10741;95,55
00423891 AGF AVENIDA VITORIA;10745;183,96
00423891 AGF AVENIDA VITORIA;10759;118,8
