Unidade de postagem;Nota fiscal;Valor frete
00423891 AGF AVENIDA VITORIA;110609;0
00423891 AGF AVENIDA VITORIA;110610;0
00423891 AGF AVENIDA VITORIA;110611;0
00423891 AGF AVENIDA VITORIA;110612;0
00423891 AGF AVENIDA VITORIA;110613;0
00423891 AGF AVENIDA VITORIA;110584;28,61
00423891 AGF AVENIDA VITORIA;110496;9,68
00423891 AGF AVENIDA VITORIA;110648;0
00423891 AGF AVENIDA VITORIA;110832;0
00423891 AGF AVENIDA VITORIA;110761;18,42
00423891 AGF AVENIDA VITORIA;110707;15,99
00423891 AGF AVENIDA VITORIA;110711;15,99
00423891 AGF AVENIDA VITORIA;110843;15,99
00423891 AGF AVENIDA VITORIA;110791;9,68
00235037 AGF PEDRO II;104170;0
00423891 AGF AVENIDA VITORIA;110683;9,68
00235037 AGF PEDRO II;104171;0
00423891 AGF AVENIDA VITORIA;110708;9,68
00423891 AGF AVENIDA VITORIA;110846;9,68
00423891 AGF AVENIDA VITORIA;110907;21,42
00423891 AGF AVENIDA VITORIA;110861;15,83
00235037 AGF PEDRO II;104215;0
00423891 AGF AVENIDA VITORIA;110850;0
00235037 AGF PEDRO II;104192;0
00235037 AGF PEDRO II;104195;0
00235037 AGF PEDRO II;104200;13,5
00423891 AGF AVENIDA VITORIA;110933;0
00235037 AGF PEDRO II;104220;0
00235037 AGF PEDRO II;104221;0
00235037 AGF PEDRO II;104218;0
00235037 AGF PEDRO II;104219;0
00423891 AGF AVENIDA VITORIA;110928;0
00423891 AGF AVENIDA VITORIA;110929;0
00423891 AGF AVENIDA VITORIA;110930;0
00423891 AGF AVENIDA VITORIA;110931;0
00423891 AGF AVENIDA VITORIA;110932;0
00423891 AGF AVENIDA VITORIA;110936;0
00423891 AGF AVENIDA VITORIA;110916;0
00423891 AGF AVENIDA VITORIA;110918;0
00423891 AGF AVENIDA VITORIA;110963;0
00423891 AGF AVENIDA VITORIA;111091;25,92
00423891 AGF AVENIDA VITORIA;111021;21,42
00423891 AGF AVENIDA VITORIA;111014;0
00423891 AGF AVENIDA VITORIA;111015;0
00423891 AGF AVENIDA VITORIA;111016;0
00423891 AGF AVENIDA VITORIA;111020;26,39
00235037 AGF PEDRO II;104265;0
00423891 AGF AVENIDA VITORIA;111142;0
00423891 AGF AVENIDA VITORIA;111022;9,68
00235037 AGF PEDRO II;104255;0
00235037 AGF PEDRO II;104256;0
00423891 AGF AVENIDA VITORIA;111207;15,99
00235037 AGF PEDRO II;104279;27,05
00423891 AGF AVENIDA VITORIA;111154;0
00423891 AGF AVENIDA VITORIA;111211;35,14
00423891 AGF AVENIDA VITORIA;111219;26,39
00423891 AGF AVENIDA VITORIA;111465;19,31
00235037 AGF PEDRO II;104314;0
00235037 AGF PEDRO II;104321;0
00423891 AGF AVENIDA VITORIA;111588;25,92
00423891 AGF AVENIDA VITORIA;111599;21,42
00235037 AGF PEDRO II;104312;21,42
00423891 AGF AVENIDA VITORIA;111485;15,99
00423891 AGF AVENIDA VITORIA;111533;9,68
00235037 AGF PEDRO II;104299;11,78
00235037 AGF PEDRO II;104303;0
00235037 AGF PEDRO II;104304;12,73
00235037 AGF PEDRO II;104328;0
00423891 AGF AVENIDA VITORIA;111867;0
00423891 AGF AVENIDA VITORIA;111815;27,5
00423891 AGF AVENIDA VITORIA;111915;9,68
00235037 AGF PEDRO II;104396;0
00423891 AGF AVENIDA VITORIA;111721;0
00423891 AGF AVENIDA VITORIA;111726;0
00423891 AGF AVENIDA VITORIA;111733;26,39
00423891 AGF AVENIDA VITORIA;111734;0
00423891 AGF AVENIDA VITORIA;111753;26,39
00423891 AGF AVENIDA VITORIA;111754;9,68
00423891 AGF AVENIDA VITORIA;112088;26,85
00423891 AGF AVENIDA VITORIA;111970;19,18
00423891 AGF AVENIDA VITORIA;111986;17,89
00423891 AGF AVENIDA VITORIA;112022;0
00235037 AGF PEDRO II;104440;0
00235037 AGF PEDRO II;104435;0
00423891 AGF AVENIDA VITORIA;111956;57,73
00423891 AGF AVENIDA VITORIA;111978;9,68
00423891 AGF AVENIDA VITORIA;112340;0
00423891 AGF AVENIDA VITORIA;112165;15,99
00423891 AGF AVENIDA VITORIA;112275;26,85
00423891 AGF AVENIDA VITORIA;112353;21,07
00423891 AGF AVENIDA VITORIA;112207;37,77
00423891 AGF AVENIDA VITORIA;112342;0
00423891 AGF AVENIDA VITORIA;112347;0
00423891 AGF AVENIDA VITORIA;112174;55,42
00423891 AGF AVENIDA VITORIA;112148;26,39
00423891 AGF AVENIDA VITORIA;112429;22,37
00235037 AGF PEDRO II;104477;0
00423891 AGF AVENIDA VITORIA;112421;0
00423891 AGF AVENIDA VITORIA;112422;0
00235037 AGF PEDRO II;104530;0
00423891 AGF AVENIDA VITORIA;112517;20,05
00423891 AGF AVENIDA VITORIA;112467;26,85
00423891 AGF AVENIDA VITORIA;112482;21,42
00423891 AGF AVENIDA VITORIA;112454;0
00423891 AGF AVENIDA VITORIA;112470;18,16
00423891 AGF AVENIDA VITORIA;112506;26,39
00235037 AGF PEDRO II;104537;0
00235037 AGF PEDRO II;104538;0
00423891 AGF AVENIDA VITORIA;112497;55,42
00423891 AGF AVENIDA VITORIA;112524;9,68
00423891 AGF AVENIDA VITORIA;112549;44,04
00235037 AGF PEDRO II;104564;0
00235037 AGF PEDRO II;104565;0
00235037 AGF PEDRO II;104566;0
00423891 AGF AVENIDA VITORIA;112748;0
00423891 AGF AVENIDA VITORIA;112687;26,85
00423891 AGF AVENIDA VITORIA;112691;15,99
00423891 AGF AVENIDA VITORIA;112731;17,89
00235037 AGF PEDRO II;104584;0
00423891 AGF AVENIDA VITORIA;112750;0
00423891 AGF AVENIDA VITORIA;112732;57,73
00423891 AGF AVENIDA VITORIA;112640;9,68
00423891 AGF AVENIDA VITORIA;112765;0
00423891 AGF AVENIDA VITORIA;112801;15,99
00423891 AGF AVENIDA VITORIA;112805;21,42
00423891 AGF AVENIDA VITORIA;112788;17,89
00423891 AGF AVENIDA VITORIA;112869;0
00423891 AGF AVENIDA VITORIA;112816;57,73
00423891 AGF AVENIDA VITORIA;112841;0
00423891 AGF AVENIDA VITORIA;112842;0
00423891 AGF AVENIDA VITORIA;112844;0
00423891 AGF AVENIDA VITORIA;112845;0
00423891 AGF AVENIDA VITORIA;112835;0
00235037 AGF PEDRO II;104673;0
00235037 AGF PEDRO II;104674;0
00423891 AGF AVENIDA VITORIA;112874;0
00423891 AGF AVENIDA VITORIA;112885;0
00235037 AGF PEDRO II;104659;0
00235037 AGF PEDRO II;104660;0
00235037 AGF PEDRO II;104661;0
00423891 AGF AVENIDA VITORIA;112959;0
00423891 AGF AVENIDA VITORIA;112960;17,89
00423891 AGF AVENIDA VITORIA;113032;25,92
00423891 AGF AVENIDA VITORIA;112951;9,68
00235037 AGF PEDRO II;104707;0
00423891 AGF AVENIDA VITORIA;112957;0
00423891 AGF AVENIDA VITORIA;113009;0
00235037 AGF PEDRO II;104757;0
00423891 AGF AVENIDA VITORIA;113101;19,18
00423891 AGF AVENIDA VITORIA;113059;21,42
00423891 AGF AVENIDA VITORIA;113106;0
00235037 AGF PEDRO II;104789;0
00235037 AGF PEDRO II;104791;8,19
00423891 AGF AVENIDA VITORIA;113125;0
00423891 AGF AVENIDA VITORIA;113126;0
00423891 AGF AVENIDA VITORIA;113136;0
00423891 AGF AVENIDA VITORIA;113139;0
00423891 AGF AVENIDA VITORIA;113141;0
00423891 AGF AVENIDA VITORIA;113142;0
00423891 AGF AVENIDA VITORIA;113381;18,42
00423891 AGF AVENIDA VITORIA;113394;26,85
00423891 AGF AVENIDA VITORIA;113185;21,42
00423891 AGF AVENIDA VITORIA;113188;17,89
00423891 AGF AVENIDA VITORIA;113197;26,85
00423891 AGF AVENIDA VITORIA;113234;20,05
00423891 AGF AVENIDA VITORIA;113180;0
00423891 AGF AVENIDA VITORIA;113183;9,68
00423891 AGF AVENIDA VITORIA;113203;26,39
00423891 AGF AVENIDA VITORIA;113228;9,68
00235037 AGF PEDRO II;104827;0
00235037 AGF PEDRO II;104829;11,5
00423891 AGF AVENIDA VITORIA;113466;15,99
00423891 AGF AVENIDA VITORIA;113419;22,7
00423891 AGF AVENIDA VITORIA;113449;15,99
00423891 AGF AVENIDA VITORIA;113478;9,68
00423891 AGF AVENIDA VITORIA;113433;41,82
00235037 AGF PEDRO II;104860;0
00423891 AGF AVENIDA VITORIA;113503;26,39
00235037 AGF PEDRO II;104897;0
00423891 AGF AVENIDA VITORIA;113530;36,06
00235037 AGF PEDRO II;104942;0
00423891 AGF AVENIDA VITORIA;113548;21,42
00423891 AGF AVENIDA VITORIA;113573;51,38
00423891 AGF AVENIDA VITORIA;113610;26,85
00423891 AGF AVENIDA VITORIA;113552;41,82
00423891 AGF AVENIDA VITORIA;113599;0
00423891 AGF AVENIDA VITORIA;113601;0
00423891 AGF AVENIDA VITORIA;113602;0
00235037 AGF PEDRO II;104984;0
00235037 AGF PEDRO II;104943;0
00235037 AGF PEDRO II;104957;0
00235037 AGF PEDRO II;104987;0
00423891 AGF AVENIDA VITORIA;113680;17,89
00423891 AGF AVENIDA VITORIA;113712;21,42
00423891 AGF AVENIDA VITORIA;113800;17,89
00423891 AGF AVENIDA VITORIA;113821;0
00423891 AGF AVENIDA VITORIA;113725;9,68
00423891 AGF AVENIDA VITORIA;113813;0
00235037 AGF PEDRO II;104988;25,41
00235037 AGF PEDRO II;104990;0
00423891 AGF AVENIDA VITORIA;113614;0
00423891 AGF AVENIDA VITORIA;113615;0
00423891 AGF AVENIDA VITORIA;113671;26,39
00423891 AGF AVENIDA VITORIA;113684;26,39
00423891 AGF AVENIDA VITORIA;113940;25,92
00423891 AGF AVENIDA VITORIA;113830;26,85
00423891 AGF AVENIDA VITORIA;113912;15,99
00423891 AGF AVENIDA VITORIA;113914;26,85
00423891 AGF AVENIDA VITORIA;113827;0
00423891 AGF AVENIDA VITORIA;113829;0
00423891 AGF AVENIDA VITORIA;113920;0
00423891 AGF AVENIDA VITORIA;113921;0
00423891 AGF AVENIDA VITORIA;113922;0
00423891 AGF AVENIDA VITORIA;113923;0
00423891 AGF AVENIDA VITORIA;113924;0
00423891 AGF AVENIDA VITORIA;113925;0
00423891 AGF AVENIDA VITORIA;113926;0
00423891 AGF AVENIDA VITORIA;113927;0
00423891 AGF AVENIDA VITORIA;113928;0
00423891 AGF AVENIDA VITORIA;113929;0
00423891 AGF AVENIDA VITORIA;113930;0
00423891 AGF AVENIDA VITORIA;113872;0
00423891 AGF AVENIDA VITORIA;113959;0
00423891 AGF AVENIDA VITORIA;113977;18,16
00423891 AGF AVENIDA VITORIA;113980;19,31
00423891 AGF AVENIDA VITORIA;114019;15,99
00423891 AGF AVENIDA VITORIA;114022;18,42
00235037 AGF PEDRO II;105085;0
00235037 AGF PEDRO II;105092;0
00423891 AGF AVENIDA VITORIA;114173;0
00423891 AGF AVENIDA VITORIA;114174;0
00423891 AGF AVENIDA VITORIA;114178;0
00423891 AGF AVENIDA VITORIA;114179;0
00423891 AGF AVENIDA VITORIA;114180;0
00423891 AGF AVENIDA VITORIA;114181;0
00423891 AGF AVENIDA VITORIA;114206;0
00423891 AGF AVENIDA VITORIA;114049;92,6
00423891 AGF AVENIDA VITORIA;114382;18,42
00423891 AGF AVENIDA VITORIA;114270;26,94
00423891 AGF AVENIDA VITORIA;114273;31,82
00423891 AGF AVENIDA VITORIA;114240;17,89
00423891 AGF AVENIDA VITORIA;114395;21,42
00423891 AGF AVENIDA VITORIA;114227;26,85
00423891 AGF AVENIDA VITORIA;114377;0
00423891 AGF AVENIDA VITORIA;114307;26,39
00423891 AGF AVENIDA VITORIA;114370;0
00423891 AGF AVENIDA VITORIA;114402;0
00423891 AGF AVENIDA VITORIA;114403;0
00423891 AGF AVENIDA VITORIA;114404;0
00423891 AGF AVENIDA VITORIA;114409;35,14
00423891 AGF AVENIDA VITORIA;114444;25,92
00423891 AGF AVENIDA VITORIA;114467;17,89
00423891 AGF AVENIDA VITORIA;114417;0
00423891 AGF AVENIDA VITORIA;114418;0
00423891 AGF AVENIDA VITORIA;114420;0
00423891 AGF AVENIDA VITORIA;114422;0
00423891 AGF AVENIDA VITORIA;114457;0
00235037 AGF PEDRO II;105186;8,14
