Unidade de postagem;Nota fiscal;Valor frete
00235037 AGF PEDRO II;105983;0
00235037 AGF PEDRO II;105984;0
00235037 AGF PEDRO II;105985;0
00235037 AGF PEDRO II;105986;0
00235037 AGF PEDRO II;105987;0
00235037 AGF PEDRO II;105988;33,4
00235037 AGF PEDRO II;105989;14,93
00235037 AGF PEDRO II;105990;13,31
00235037 AGF PEDRO II;105991;11,78
00235037 AGF PEDRO II;105992;0
00235037 AGF PEDRO II;105993;11,78
00235037 AGF PEDRO II;105994;0
00423891 AGF AVENIDA VITORIA;116353;26,85
00423891 AGF AVENIDA VITORIA;116398;18,42
00423891 AGF AVENIDA VITORIA;116295;0
00423891 AGF AVENIDA VITORIA;116301;26,39
00423891 AGF AVENIDA VITORIA;116365;27,5
00423891 AGF AVENIDA VITORIA;116438;26,85
00423891 AGF AVENIDA VITORIA;116502;25,92
00423891 AGF AVENIDA VITORIA;116509;23,59
00423891 AGF AVENIDA VITORIA;116517;15,99
00423891 AGF AVENIDA VITORIA;116558;17,89
00423891 AGF AVENIDA VITORIA;116601;19,31
00235037 AGF PEDRO II;106057;53,41
00235037 AGF PEDRO II;106068;0
00423891 AGF AVENIDA VITORIA;116516;0
00423891 AGF AVENIDA VITORIA;116818;21,42
00423891 AGF AVENIDA VITORIA;116765;26,39
00423891 AGF AVENIDA VITORIA;116824;21,42
00423891 AGF AVENIDA VITORIA;116631;28,76
00423891 AGF AVENIDA VITORIA;116644;26,85
00423891 AGF AVENIDA VITORIA;116662;26,39
00423891 AGF AVENIDA VITORIA;116670;19,31
00423891 AGF AVENIDA VITORIA;116785;26,39
00235037 AGF PEDRO II;106100;17,3
00235037 AGF PEDRO II;106113;0
00235037 AGF PEDRO II;106120;0
00235037 AGF PEDRO II;106123;0
00235037 AGF PEDRO II;106139;0
00423891 AGF AVENIDA VITORIA;117057;53,41
00423891 AGF AVENIDA VITORIA;116885;26,85
00423891 AGF AVENIDA VITORIA;116886;26,85
00423891 AGF AVENIDA VITORIA;116894;31,82
00423891 AGF AVENIDA VITORIA;116866;17,89
00423891 AGF AVENIDA VITORIA;116875;17,89
00423891 AGF AVENIDA VITORIA;116881;15,99
00423891 AGF AVENIDA VITORIA;116882;22,37
00423891 AGF AVENIDA VITORIA;116889;55,42
00423891 AGF AVENIDA VITORIA;117069;55,42
00235037 AGF PEDRO II;106178;0
00235037 AGF PEDRO II;106180;0
00235037 AGF PEDRO II;106181;32,77
00423891 AGF AVENIDA VITORIA;117154;26,85
00235037 AGF PEDRO II;106280;0
00423891 AGF AVENIDA VITORIA;117098;26,39
00423891 AGF AVENIDA VITORIA;117101;26,39
00235037 AGF PEDRO II;106285;0
00235037 AGF PEDRO II;106286;0
00235037 AGF PEDRO II;106292;28,61
00235037 AGF PEDRO II;106293;11,5
00235037 AGF PEDRO II;106294;12,81
00423891 AGF AVENIDA VITORIA;117258;0
00423891 AGF AVENIDA VITORIA;117259;53,41
00423891 AGF AVENIDA VITORIA;117260;53,41
00423891 AGF AVENIDA VITORIA;117261;53,41
00423891 AGF AVENIDA VITORIA;117262;53,41
00423891 AGF AVENIDA VITORIA;117263;53,41
00423891 AGF AVENIDA VITORIA;117211;0
00235037 AGF PEDRO II;106315;0
00423891 AGF AVENIDA VITORIA;117287;18,16
00423891 AGF AVENIDA VITORIA;117288;26,39
00423891 AGF AVENIDA VITORIA;117201;26,39
00423891 AGF AVENIDA VITORIA;117212;55,42
00235037 AGF PEDRO II;106314;0
00423891 AGF AVENIDA VITORIA;117344;26,85
00235037 AGF PEDRO II;106352;0
00235037 AGF PEDRO II;106354;0
00235037 AGF PEDRO II;106369;0
00423891 AGF AVENIDA VITORIA;117341;0
00423891 AGF AVENIDA VITORIA;117525;21,42
00423891 AGF AVENIDA VITORIA;117387;21,42
00423891 AGF AVENIDA VITORIA;117485;26,85
00423891 AGF AVENIDA VITORIA;117570;17,89
00235037 AGF PEDRO II;106380;17,89
00423891 AGF AVENIDA VITORIA;117436;0
00423891 AGF AVENIDA VITORIA;117522;0
00235037 AGF PEDRO II;106383;11,28
00235037 AGF PEDRO II;106384;36,95
00235037 AGF PEDRO II;106417;0
